,Jang-hESCs_Control_71,Jang-hESCs_Control_72,Jang-hESCs_Control_73,Jang-iPSCs_Control_74,Jang-iPSCs_Control_75,Jang-iPSCs_Control_76,Jang-iPSCs_AMN_77,Jang-iPSCs_AMN_78,Jang-iPSCs_AMN_79,Jang-iPSCs_CCALD_80,Jang-iPSCs_CCALD_81,Jang-iPSCs_CCALD_82
A1BG,6.7833455,6.7769580000000005,6.795812,6.7280809999999995,6.822617500000001,6.7330205,6.8025044999999995,6.777705,7.035105000000001,6.7181235,6.806478,6.807935499999999
A1BG-AS1,6.576109,6.533098000000001,6.452472,6.395807,6.646602000000001,6.512293,6.5483720000000005,6.485149,6.42736,6.250021,6.582812,6.435398
A1CF,6.410723,6.460726999999999,6.647603999999999,6.474361,6.461917,6.553724000000001,6.569535000000001,6.380732,6.583363,6.459121,6.50203,6.564174
A2M,6.296271,6.198797,6.267357,6.22699,6.397614,6.078723,6.265612,6.303778,6.102758000000001,6.176963,6.293784,6.317991
A2ML1,7.570930000000001,7.473169,7.149522,7.324126,7.0201970000000005,7.1289690000000006,7.336106,7.137465,6.722119,6.671977,6.959797999999999,6.954089
A3GALT2,6.4559685,6.5669765,6.4340915,6.4934544999999995,6.4077684999999995,6.3596765,6.509854,6.4745315,6.597158,6.5557025,6.5503265,6.569665
A4GALT,8.06024,8.743478,9.145304,8.279186,8.743478,8.307848,8.843392999999999,8.538321,9.417783,8.149326,7.981584,8.339839
A4GNT,7.099763,7.045207,7.130569,6.945616,7.074501,6.972003,7.257867999999999,7.039122,6.7784770000000005,7.108194999999999,6.9938649999999996,7.0253570000000005
AAAS,8.087041000000001,8.408978,8.345879,8.538501,8.602389,8.112159,8.783522999999999,8.306415,9.077437,8.088641,8.488699,8.310925
AACS,9.014178999999999,9.177496000000001,9.424946,9.199246,9.339222999999999,8.994257000000001,9.006607,9.068595,9.494361999999999,9.478255,9.078294,9.519145
AADAC,6.7557279999999995,6.6814789999999995,6.657567,6.77908,6.6293869999999995,6.776371000000001,6.713958,6.667655,6.803002,6.714094,6.67841,6.680697
AADACL2,6.681286,6.645778,6.737457000000001,6.557481,6.619786,6.673495,6.55434,6.728852000000001,6.607061999999999,6.724417,6.757225999999999,6.641118
AADACL3,6.5358730000000005,6.351705,6.426961,6.615332,6.638649000000001,6.4896910000000005,6.470002,6.469265,6.607947,6.566941,6.400648,6.560375
AADACL4,6.599695,6.492151,6.504544999999999,6.652353999999999,6.379557,6.458409,6.475257,6.479126,6.44091,6.469578,6.19304,6.42181
AADACP1,6.5922695000000004,6.480428,6.587519500000001,6.4464555,6.5135819999999995,6.490922,6.640055499999999,6.5533805,6.584915,6.51945,6.4852125,6.5581905
AADAT,6.661983,6.7097235,6.582413000000001,6.6902740000000005,6.575895,6.665501,6.4458785,6.6283270000000005,6.615922,6.736757000000001,6.555109,6.678767999999999
AAED1,7.953396000000001,8.024242999999998,8.229709,7.988999000000001,7.997941,7.852991,7.952884,7.955092,8.609712,8.137699000000001,8.188944000000001,8.092555
AAGAB,9.111302,9.161228999999999,8.594641000000001,8.095214,7.79405,7.926323,8.988986,9.079597999999999,8.216095,9.199983999999999,9.563303,9.182205999999999
AAK1,6.4969114999999995,6.49051,6.5239845,6.527444999999999,6.512969,6.549144,6.6396875,6.5571875,6.5211795,6.5704175000000005,6.570139,6.655083500000001
AAMDC,9.080076,9.097899,9.06073,9.270569,9.313688,9.464004,9.113747,9.481268,9.895439,9.632866,9.204559,9.610465
AAMP,9.304369,9.687717,10.011257,9.773091,9.688448,9.687717,9.556348,9.553358,10.353613000000001,9.609013000000001,9.614317999999999,9.746111
AANAT,6.346971,6.497016,6.647117999999999,6.499815,6.638461,6.5542869999999995,6.112445,6.516284,6.6850179999999995,6.476018,6.396414,6.334776000000001
AAR2,10.699883999999999,10.747094,10.503833,10.645616,10.538491,10.583515,10.709928999999999,10.575887,10.663599000000001,10.595089,10.782046000000001,10.708637
AARD,6.482174,6.808647000000001,6.81302,6.601814,6.656478,6.492961,6.545932,6.537458,6.519638,6.593605999999999,6.492151,6.683197
AARS,13.694170999999999,14.091512,14.166442000000002,13.609829000000001,13.921165,13.633229,14.162325,14.144578,14.191502,13.854052,13.985358999999999,13.748122
AARS2,9.186292,9.262030000000001,9.600619,9.248032,9.171869000000001,9.34946,9.278321,9.087626,9.653361,9.238037,9.31294,9.044111000000001
