,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
DDX11L1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0
WASH7P,2,3,10,19,31,29,24,12,30,9,37,1,3,4,8,11
MIR6859-1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
RP11-34P13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,25,4,0,2,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RP11-34P13.15,1,0,0,3,1,4,0,0,13,0,0,3,2,4,3,0
RP11-34P13.16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2
RP11-34P13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.13,0,0,3,0,2,0,0,2,0,2,1,0,0,0,0,4
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABC7-43046700E7.1,0,2,2,0,1,9,0,0,0,3,10,0,1,13,0,0
RP11-34P13.18,15,27,54,41,68,75,104,31,23,27,51,21,21,20,15,16
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006222.1,69,68,37,40,196,73,123,59,31,100,100,33,33,67,38,69
RPL23AP24,2,6,10,22,34,30,21,15,6,11,7,6,9,7,12,20
RP4-669L17.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.4,0,0,1,0,10,1,3,0,6,2,3,8,0,8,4,3
RP4-669L17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP4-669L17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF00026,0,0,5,1,5,6,6,0,3,0,0,0,0,0,0,0
RP11-206L10.17,0,0,1,1,26,0,1,0,1,0,0,0,0,0,0,0
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.9,3,10,11,8,11,34,10,24,27,2,0,10,15,31,35,3
RP5-857K21.8,22994,24592,9996,4229,3650,6319,3883,7645,4998,3562,2519,4077,3759,13020,5176,3709
RP5-857K21.6,376,206,42,279,139,274,133,840,432,155,417,136,123,1867,376,161
MIR6723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.7,70,47,13,4641,22,36,19,74,11266,16,42,23,24,81,7570,14
RP5-857K21.14,3,7,0,1,4,14,0,7,0,0,0,1,0,4,0,1
RP5-857K21.10,10809,12356,4038,10380,5038,14159,8191,17663,17641,6502,4978,5287,3772,23930,9051,5151
RP5-857K21.11,67,66,17,37,41,77,16,139,92,14,24,7,46,90,33,34
RP5-857K21.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RP11-206L10.2,5,9,4,17,40,22,27,3,13,6,0,0,6,11,23,5
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11-206L10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.9,5,6,6,25,23,25,6,8,32,3,4,8,0,30,2,0
RP11-206L10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.8,18,25,32,48,58,19,64,22,15,15,16,30,17,12,0,14
FAM87B,8,2,18,66,38,24,55,24,14,32,0,12,4,53,18,27
RP11-206L10.11,482,512,688,749,668,902,479,583,639,630,745,642,662,845,646,715
NCRNA00115,7,12,33,231,152,46,73,4,22,12,2,1,0,45,6,17
FAM41C,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
TUBB8P11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FAM166AP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.16,0,2,1,1,14,12,2,4,0,1,0,0,0,0,1,1
RP11-54O7.1,0,10,0,14,0,54,1,0,0,0,0,0,0,0,0,0
RP11-54O7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.3,2,0,20,25,53,85,0,8,6,12,41,21,0,30,0,120
SAMD11,13,23,54,312,221,108,85,74,20,66,158,23,54,100,0,261
NOC2L,3566,3286,5205,9763,7341,7623,7817,3368,4036,4990,4493,3538,3906,4355,3677,4861
KLHL17,81,128,283,348,477,507,410,124,213,188,299,177,88,210,101,223
PLEKHN1,0,8,2,36,13,23,0,2,0,0,12,12,0,0,20,0
PERM1,0,0,0,11,0,4,0,0,0,0,0,0,0,0,10,0
RP11-54O7.17,0,0,6,55,13,15,24,0,0,12,0,0,0,0,0,8
HES4,597,805,3107,10966,6521,5054,4382,217,344,736,262,283,102,494,745,1106
ISG15,915,1167,141210,3032,1605,2012,1191,809,2556,1898,1944,23398,1370,1056,144086,36676
RP11-54O7.10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.11,0,0,0,0,2,2,4,0,0,0,0,6,0,0,0,0
AGRN,294,467,2090,1361,1689,1618,995,369,619,621,619,598,140,307,1527,335
RP11-54O7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.3,81,50,78,278,253,368,247,35,19,63,77,14,5,59,26,29
RP11-54O7.18,0,0,0,7,4,0,0,0,0,0,0,0,0,0,2,0
RNF223,0,0,0,2,10,4,0,0,0,0,0,0,0,0,0,0
C1orf159,285,471,473,754,652,900,789,520,547,686,653,332,469,838,496,533
RP11-465B22.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
RP11-465B22.6,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TNFRSF18,8,91,0,34,24,18,23,2,0,0,16,48,3,0,8,0
TNFRSF4,827,1511,149,2,3,0,14,20,2,166,166,543,33,12,313,86
SDF4,11620,15403,12779,14152,15516,18023,11306,16397,14090,18146,18847,15568,12069,15986,12414,17196
B3GALT6,437,543,4201,588,3264,6509,6568,3614,4154,5597,4954,3476,1329,1014,1631,4923
C1QTNF12,0,0,2,376,402,151,221,68,4,10,0,4,0,31,6,8
RP5-902P8.12,0,0,0,5,5,4,3,0,0,0,0,0,0,0,0,0
UBE2J2,2644,2987,3917,6580,7535,5865,6990,3032,2676,3807,4157,2138,3644,3558,2370,3105
RP5-902P8.10,0,0,0,1,3,6,9,0,0,0,8,0,0,0,0,0
SCNN1D,2,8,0,15,25,36,14,0,0,0,2,0,2,0,0,0
ACAP3,709,1073,1968,1750,1106,1859,1044,1370,1313,1404,1519,895,702,1645,760,1457
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,388,739,625,1264,911,1512,1525,693,710,821,908,427,600,1031,486,688
INTS11,2664,3082,4198,7041,5270,6511,6626,3462,3950,4340,4361,2620,3584,5666,2991,4606
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-890O3.9,0,0,8,6,1,11,2,1,9,0,1,7,0,7,0,0
CPTP,1414,2047,3036,2535,1493,3595,2711,1788,1934,1922,2159,1295,1530,2820,1910,1591
TAS1R3,0,6,7,8,14,84,34,103,18,2,60,0,34,97,0,9
DVL1,90,206,429,799,1642,1778,1072,441,449,701,1775,201,196,571,281,672
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,843,507,489,10020,7291,6437,4481,14442,2008,17785,36777,2552,9485,13676,1298,14824
AURKAIP1,4149,4681,6671,10641,11978,18435,13412,4228,4594,6361,5373,5025,4226,6636,4395,6298
RP5-890O3.3,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0
CCNL2,1611,1596,2004,2857,2379,2999,3201,1912,2814,2076,1736,1500,1799,3001,1798,2121
RP4-758J18.2,506,504,763,1403,982,2308,1303,806,883,732,550,517,896,1404,641,574
MRPL20,3302,3298,4601,8129,5863,11769,8288,3427,2901,4603,2763,3283,2687,5093,2825,3774
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-758J18.13,4,2,4,146,517,136,331,1,18,20,14,2,9,14,20,7
ANKRD65,4,10,66,46,22,58,17,0,0,0,16,0,0,0,0,24
RP4-758J18.7,2,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RP4-758J18.10,0,0,12,11,9,31,0,0,0,1,0,0,0,2,0,0
VWA1,220,202,807,1418,533,1403,625,299,331,1061,153,78,58,1111,65,374
ATAD3C,22,9,11,7,30,18,19,10,2,0,1,0,2,6,0,0
ATAD3B,191,465,214,1775,974,1304,1296,478,556,260,379,268,328,178,341,218
RP5-832C2.8,0,4,2,6,42,65,44,19,1,8,6,27,30,43,0,4
ATAD3A,860,1091,1630,3343,1543,3053,2255,1446,1447,2003,2200,1043,1251,1348,1466,1756
TMEM240,4,30,38,107,102,114,95,13,6,21,12,2,2,120,1,8
SSU72,11200,13696,16528,18899,19312,18596,19624,8281,6893,12949,13384,12242,10119,16128,9602,13310
RP5-832C2.5,47,45,89,269,617,354,696,57,61,120,72,114,67,77,63,58
RP11-345P4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf233,163,323,368,110,356,1177,430,640,441,468,1755,738,303,284,424,528
RP11-345P4.9,446,556,447,1186,1353,1341,860,555,552,756,361,198,402,1599,161,700
MIB2,715,1401,2863,3228,3161,3649,3178,1334,1444,2123,2812,1159,878,2829,1338,2419
MMP23B,0,0,0,37,13,34,20,202,4,32,358,15,45,55,4,23
CDK11B,280,348,447,543,599,1802,771,448,467,496,415,381,385,630,637,394
RP11-345P4.10,0,0,1,2,1,3,0,0,0,0,0,1,0,1,4,0
SLC35E2B,1500,1513,2326,910,935,1233,689,1596,1362,1095,1293,1748,1565,1531,1143,1641
RP11-345P4.6,7,12,0,4,9,15,13,4,24,5,5,4,0,5,10,9
MMP23A,1,4,0,3,5,3,21,9,18,5,15,1,0,18,0,1
CDK11A,0,5,10,4,23,10,9,32,5,10,9,8,0,6,22,3
RP1-283E3.8,75,64,43,32,32,10,25,41,88,61,45,22,46,30,14,53
RP1-283E3.4,0,0,0,0,14,1,3,0,0,0,0,0,0,0,0,0
SLC35E2,201,243,464,519,738,878,433,803,676,1277,1061,310,227,1236,480,1346
NADK,16526,15627,20597,3429,2648,2886,2423,4755,5714,11420,8412,17591,5601,5222,28388,14797
GNB1,14844,22086,26359,8004,29514,21554,16263,20358,21080,27080,25162,23281,24104,18739,24040,28375
RP1-140A9.1,3,12,70,20,126,197,111,3,0,18,8,4,0,96,0,20
CALML6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM52,8,30,38,115,126,107,97,12,20,12,15,16,14,61,2,6
CFAP74,4,4,0,40,31,137,32,50,14,3,0,0,0,206,2,8
RP11-547D24.1,0,0,0,10,21,0,0,0,0,0,0,0,1,0,0,0
GABRD,6,32,0,106,48,12,0,0,3,0,0,0,2,0,14,0
RP11-547D24.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PRKCZ,98,160,344,726,1088,1033,768,33,77,60,36,5,23,110,49,22
RP5-892K4.1,0,0,6,13,14,2,18,0,0,1,1,0,0,0,0,0
