	Mouse_ABCD1_1	Mouse_ABCD1_2	Mouse_ABCD1_3	Mouse_NT_1	Mouse_NT_2	Mouse_NT_3
RP23-271O17.1	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0
RP23-317L18.1	0	0	0	0	0	0
RP23-317L18.4	0	0	0	0	0	0
RP23-317L18.3	0	0	0	0	0	0
RP23-115I1.6	0	0	0	0	0	0
RP23-115I1.1	0	0	0	0	0	0
RP23-115I1.5	0	0	0	0	0	0
RP23-115I1.2	0	0	1.89615718855939	0	0	0
RP23-115I1.3	0	0	0	0	0	0
RP23-122M2.3	0	0	0	0	0	0
RP23-122M2.2	0	0	0	0	0	0
RP23-122M2.1	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0
RP23-333I7.1	0	0	0	0	0	0
Rp1	14.4295484544465	5.57013017585587	9.48078594279697	3.77607005814975	1.95959185071892	2.26977117710861
RP23-177A20.1	0	0	0	0	0	0
RP23-391E12.2	2.06136406492092	0	0	0	0	0
Sox17	1574.88214559959	1658.97043737574	1669.56640452655	2686.67384637354	2382.86369047421	2183.51987237849
RP23-285G23.2	18.5522765842883	7.42684023447449	5.68847156567818	9.44017514537436	16.6565307311109	12.4837414740974
RP23-285G23.3	0	7.42684023447449	11.3769431313564	0	3.91918370143785	9.07908470843445
Gm22307	0	0	0	0	0	0
RP23-285G23.4	0	0	0	0	0	0
RP23-37D15.1	1.03068203246046	0	3.79231437711879	0	0	0
RP23-37D15.2	0	0	0	0	0	0
RP23-34E15.1	10.3068203246046	10.2119053224024	10.4288645370767	5.66410508722462	11.7575511043135	10.2139702969888
RP23-34E15.2	6.18409219476277	3.71342011723724	4.74039297139849	1.88803502907487	0	0
Gm25493	0	0.928355029309311	1.89615718855939	0	0	0
RP23-34E15.3	4.12272812984185	2.78506508792793	1.89615718855939	5.66410508722462	1.95959185071892	2.26977117710861
RP23-34E15.4	39.1659172334975	37.1342011723724	39.8193009597473	53.8089983286339	56.8281636708488	72.6326776674756
Mrpl15	1197.65252171906	1387.89076881742	1406.94863391107	1669.02296570219	1536.32001096364	1701.19349724291
RP23-34E15.5	22.6750047141302	20.4238106448048	18.9615718855939	34.9286480378851	31.3534696115028	53.3396226620524
Lypla1	1121.38205131698	853.158271935257	1510.28920068756	725.949468679289	708.392454034891	804.633882285003
RP24-426M1.3	0	0	0	0	0	0
Tcea1	1239.91048504994	1282.05829547616	1432.54675595662	1855.9384335806	1878.26878891409	1936.11481407365
RP24-426M1.2	25.7670508115115	26.92229584997	25.5981220455518	29.2645429506605	28.4140818354244	27.2372541253034
RP24-426M1.4	20.6136406492092	28.7790059085886	21.805807668433	15.104280232599	14.6969388803919	37.4512244222921
Rgs20	30.9204609738138	19.4954556154955	39.8193009597473	37.7607005814975	34.2928573875812	37.4512244222921
RP24-141F9.1	0	0	1.89615718855939	0	0	0
RP24-141F9.2	2.06136406492092	0	1.89615718855939	0	2.93938777607839	0
AC102242.1	9.27613829214415	9.28355029309311	7.58462875423758	3.77607005814975	3.91918370143785	4.53954235421723
RP24-363O2.1	0	0	0	0	1.95959185071892	0
