	Human_ABCD1_1	Human_ABCD1_2	Human_ABCD1_3	Human_NT_1	Human_NT_2	Human_NT_3
DDX11L1	0	1.21682894199669	0.919906288979156	0	1.98810579272326	0.86743001733718
WASH7P	25.7740125720536	38.938526143894	18.3981257795831	40.2926594697826	56.6610150926128	28.6251905721269
MIR6859-1	9.20500449001915	8.51780259397681	7.35925031183325	11.6636645833581	2.98215868908488	6.93944013869744
RP11-34P13.3	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
RP11-34P13.7	0	0	0	0	0.994052896361628	0
RP11-34P13.8	0	0	0	0	0	0
RP11-34P13.10	0	0	0	0	0	0
RP11-34P13.15	1.84100089800383	0	0	0	0	0.86743001733718
RP11-34P13.16	1.84100089800383	0	0	3.18099943182494	3.97621158544651	2.60229005201154
RP11-34P13.14	0	0	0	1.06033314394165	0	0
RP11-34P13.13	0	0	2.75971886693747	5.30166571970824	1.98810579272326	0.86743001733718
RNU6-1100P	0	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0	0
ABC7-43046700E7.1	0	2.43365788399337	1.83981257795831	7.42233200759154	4.97026448180814	3.46972006934872
RP11-34P13.18	67.1965327771398	83.9611969977714	89.2309100309782	114.515979545698	134.19714100882	56.3829511269167
MIR6859-2	0	0	0	0	0.994052896361628	0.86743001733718
AP006222.1	6.44350314301341	9.73463153597349	4.59953144489578	14.8446640151831	5.96431737816977	17.3486003467436
RPL23AP24	5.52300269401149	4.86731576798675	4.59953144489578	5.30166571970824	6.9583702745314	3.46972006934872
RP4-669L17.2	0	0	0	0	0	0
RP4-669L17.4	7.36400359201532	1.21682894199669	0.919906288979156	4.24133257576659	2.98215868908488	5.20458010402308
RP4-669L17.6	0	0	0	0	0	0
OR4F29	0	1.21682894199669	0	1.06033314394165	0	0
CICP7	0	0	0	0	0	0
RP4-669L17.8	0	0	0	0	0	0
RF00026	8.28450404101724	9.73463153597349	6.4393440228541	11.6636645833581	13.9167405490628	7.80687015603462
RP11-206L10.17	2.76150134700575	1.21682894199669	0	0	0.994052896361628	2.60229005201154
RP5-857K21.2	0	0	0	0	0	0
RP5-857K21.9	1.84100089800383	7.30097365198012	1.83981257795831	0	8.94647606725465	4.3371500866859
RP5-857K21.8	211.71510327044	285.954801369221	269.532542670893	287.350282008187	348.912566622932	348.706866969546
